created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 10 23:59:58 +0000 2023;1734000033736056995;"@Gus_Raharjo Saat menilai pemimpin, mari berfokus pada gagasan dan rekam jejak mereka, bukan sekadar mengikuti arahan dari satu figur. Keberagaman perspektif dan pemilihan yang bijak akan memperkuat demokrasi kita. Ganjar Mahfud 2024 🏆";0;0;0;2;in;1598223864177516544;1733720787503423491;aremareum;https://twitter.com/aremareum/status/1734000033736056995
Sun Dec 10 23:59:45 +0000 2023;1733999979549892989;""Dukungan buruh membawa dampak elektoral yang cukup signifikan, karena massa buruh dikenal sangat solid dan militan," Menurutnya, Ganjar-Mahfud memiliki perhatian besar terhadap kesejahteraan buruh. https://t.co/q7FUmNhaeg https://t.co/nXkw5b3dZu";0;0;0;2;in;2495508415;1733999979549892989;Darmawan_bs;https://twitter.com/Darmawan_bs/status/1733999979549892989
Sun Dec 10 23:59:29 +0000 2023;1733999910108926088;"@Dennysiregar7 Tapi gua akan tetap pilih Ganjar Mahfud";0;0;0;0;in;1668835909859672066;1733766458323206419;b0_b0_b0y;https://twitter.com/b0_b0_b0y/status/1733999910108926088
Sun Dec 10 23:59:27 +0000 2023;1733999900776624499;"Anies menguat, Ganjar sebenarnya diinginkan, tapi PDIP sudah berkuasa 2 periode (presiden, dpr) dikuasai. Mungkin ada yg ingin perubahan partai penguasa. Prabowo, masuk bidikan, cuma Gibran sangat dipaksakan hingga yg berakal sehat dan berotak waras, sangat prihatin.";0;0;0;0;in;1659149724;1733999900776624499;ImamJumhuri;https://twitter.com/ImamJumhuri/status/1733999900776624499
Sun Dec 10 23:59:21 +0000 2023;1733999876428738947;"@kompascom Loh, loh, loh ganjar urutan ke tiga dengan hasil 15 persen dan kalah dari anies yg 16 persen. Ini pasti pesanan, ini pasti bayar krn gak mungkin ganjar hasilnya seperti ini, kata buzzer dan pendukung banteng san ganjar yang tidak bisa menerima kenyataan 🙃🙃🙃";0;1;0;0;in;3161692884;1733981308597174722;YossieC777;https://twitter.com/YossieC777/status/1733999876428738947
Sun Dec 10 23:59:07 +0000 2023;1733999817528168803;"1. Anies - Amin 2. Prabowo - Gibran 3. Ganjar - Mahfud 4. Girona - 2 Barcelona 5. Frankfurt - 1 Bayern Munchen 6. Spurs- 1 Mu 7. Liverpool - 0 Mu 8. Bayern - 2 Barcelona";0;0;0;0;in;1494197185876881408;1733999817528168803;dhikaaa____;https://twitter.com/dhikaaa____/status/1733999817528168803
Sun Dec 10 23:58:09 +0000 2023;1733999573973311956;"@ganjarpranowo Pak ganjar calon pemimpin yang dibutuhkan masyarakat,  beliau peduli dengan tradisi di Indonesia";0;0;0;0;in;1465834579864993798;1733804740855877900;itoecaplang;https://twitter.com/itoecaplang/status/1733999573973311956
Sun Dec 10 23:58:07 +0000 2023;1733999565593071981;"@ganjarpranowo Kita kawal mas ganjar pokonya";0;0;0;0;in;1645796688496562178;1733804740855877900;JuliusArwi;https://twitter.com/JuliusArwi/status/1733999565593071981
Sun Dec 10 23:57:55 +0000 2023;1733999517882872219;"@ganjarpranowo Sehat selalu pak Ganjar semoga diberikan kesehatan dan panjang umur. Semangat healing dan olahraganya pak.";0;0;0;0;in;1710153899162963968;1733731514972823595;emjamrep;https://twitter.com/emjamrep/status/1733999517882872219
Sun Dec 10 23:57:36 +0000 2023;1733999438149103732;"@ganjarpranowo Calon pemimpin yang merakyat dan selalu menjaga tradisi dan budaya yang ada Pak ganjar keren";0;1;0;0;in;1464389074245103618;1733804740855877900;kamidut;https://twitter.com/kamidut/status/1733999438149103732
Sun Dec 10 23:57:20 +0000 2023;1733999371182862521;"@ganjarpranowo Pak Ganjar tidak pernah lelah inginn menyebarkan kebaikan di seluruh penjuru indonesia";0;0;0;0;in;1172127349518692352;1733804740855877900;bang_cat0_0;https://twitter.com/bang_cat0_0/status/1733999371182862521
Sun Dec 10 23:57:04 +0000 2023;1733999301628731776;"@seeksixsuck Contoh dong nyerang ganjar pake bokap bokep, survey ganjar turun dan survey yg nyerang langsung naek";0;0;0;3;in;299732033;1733759148834357681;Kingcube12;https://twitter.com/Kingcube12/status/1733999301628731776
Sun Dec 10 23:56:56 +0000 2023;1733999270754419135;"@ganjarpranowo Salam olah raga sellu nij pak ganjar sllu merngkul rakytnya";0;0;0;0;in;1656919260596404225;1733731514972823595;febyola_2407;https://twitter.com/febyola_2407/status/1733999270754419135
